time,tr_Post_Register,tr_Get_Root,page,tr_Get_New_Book,tr_Get_Register,tr_Redirect_Root,tr_Post_New_Book 
0,41.06053010568665,191.83333749615466,378.9467439333132,0,4.460155776541936,191.84799999999998, 
10,67.05219762884902,439.02694010696206,554.7462472465552,6.759416730395262,44.62260464591687,406.9825286789383,13.874753093138471 
20,187.75099453857717,1273.1630535261893,1325.220384916201,302.98021195984796,43.58246455065582,1654.9424560903892,209.7534987309385 
30,564.6780184287915,1583.2242010545397,4143.680579805521,298.2603359889383,662.7134736687663,1498.980286858115,746.0099971412916 
40,805.2879268867813,1879.3901078724487,3365.4142595993994,884.6758160047486,2081.047889352218,2641.1885256783785,833.7560000000001 
50,4213.4196188871565,6887.869512503476,5946.745326762117,3359.827955999775,3846.892475060627,7069.7840673478895,3332.472928437563 
60,3485.1209911014134,7479.598026297086,6778.029923360949,6100.986485716345,5037.648351242839,7894.817932583932,773.424662303146 
70,2971.796721796643,1149.5880498876832,7199.330387682484,2634.903150577738,3453.745499283279,2012.3416722296918,3040.703807179332 
80,913.6606363145406,1521.940903015685,10398.10451212078,0,1054.7949770224295,4421.331521161241,948.3438811473139 
90,970.342421138095,0.0,4812.435747007029,746.7997536006011,800.070686339488,2149.9992756547863,0 
100,1471.1984693458367,0,6635.617975149848,1410.97236859861,1371.5169426786392,1830.489006799456,962.5173155070072 
110,0,0,6731.570652938723,516.3956753284689,0,5072.3701350118345,427.08921356963447 
120,0,0,3.5183884245300936,4.9968705393976345,0,0,1.320465647981802 
121,0,0,0.0,0,0,0,0.0 
