time,users_count,finish_users_count 
0,1.8,0 
10,1.2,0.8 
20,0,1.5 
30,0,0.6 
40,0,0 
50,0,0.1 
60,3.1,0.1 
70,2.4,1.1 
80,0,3.3 
90,0,0.9 
100,2.8,0.1 
110,8.5,1.4 
120,0.7,5.9 
130,0,3.6 
140,0,1.1 
150,11.8,0.1 
160,8.7,6.4 
170,0,10 
180,0,3.6 
190,0,0.4 
200,29,0.9 
210,19,13.8 
220,0,24.8 
230,0,6.5 
240,0,1.9 
250,24.8,0.2 
260,61.7,9.1 
270,7.2,44.9 
280,0,30.4 
290,0,8.3 
300,0,0.9 
310,106.4,1.7 
320,72.1,50.1 
330,0,87.9 
340,0,32.5 
350,0,5.9 
360,0,0.4 
370,0,0 
380,96.9,0 
390,240.9,36.5 
400,25.9,165 
410,0,130 
420,0,27.6 
430,0,4.1 
440,0,0.5 
450,0,0 
460,427.2,6.6 
470,298.9,49.7 
480,0,154.6 
490,0,407.9 
500,0,98.4 
510,0,8.5 
520,0,0.4 
526,0,0 
