time,users,connected 
0,18,17 
10,28,7 
20,28,-17 
30,28,-5 
40,28,-1 
50,28,-1 
60,30,29 
70,48,15 
80,48,-34 
90,48,-9 
100,48,26 
110,99,68 
120,105,-46 
130,105,-38 
140,105,-11 
150,117,115 
160,171,26 
170,171,-101 
180,171,-36 
190,171,-4 
200,282,281 
210,416,54 
220,416,-249 
230,416,-66 
240,416,-18 
250,416,215 
260,773,538 
270,811,-337 
280,811,-318 
290,811,-91 
300,811,-9 
310,1047,994 
320,1558,307 
330,1558,-891 
340,1558,-344 
350,1558,-62 
360,1558,-4 
370,1558,0 
380,1558,915 
390,3015,2035 
400,3164,-1296 
410,3164,-1322 
420,3164,-285 
430,3164,-42 
440,3164,-5 
450,3164,0 
460,4206,3669 
470,6964,2549 
480,6964,-1080 
490,6964,-3936 
500,6964,-1100 
510,6964,-97 
520,6964,-5 
526,6964,0 
