time,tr_Post_Register,tr_Get_Root,page,tr_Request_Friend,tr_Post_Login,tr_Get_Friends,tr_Get_New_Friend,tr_Get_Logout,tr_Get_Register,tr_Redirect_Root,tr_Get_Login 
0,146.144,13.256833333333335,41.478846153846156,,,,,,6.236000000000001,, 
10,153.79257142857142,6.906499999999999,39.33574137931034,6.741,141.49216666666666,19.844,7.345,7.5762222222222215,6.2595,8.822866666666666,6.202857142857143 
20,0,0,36.33327586206896,38.3694,213.477,13.220500000000001,6.624,38.334,0,8.98425,8.353 
27,0,0,21.3979,7.106,138.477,13.682500000000001,6.254,0,0,8.503,0 
