time,users,connected 
0,18,16 
10,27,9 
20,27,-5 
30,27,-8 
40,27,-4 
50,27,-8 
60,30,29 
70,59,28 
80,59,-21 
90,59,-12 
100,59,-4 
110,59,-2 
120,59,-6 
130,59,-12 
140,70,69 
150,116,41 
160,116,-40 
170,116,-27 
180,116,-8 
190,116,-3 
200,116,0 
210,116,0 
220,116,-1 
230,116,-1 
240,116,-5 
250,116,-4 
260,116,14 
270,190,150 
280,218,32 
290,218,-16 
300,218,-9 
310,218,-11 
320,218,-4 
330,218,-38 
340,218,-58 
350,218,-22 
360,218,-1 
370,218,-5 
380,218,0 
390,218,-1 
400,218,1 
410,218,-3 
420,218,-6 
430,218,3 
440,218,-1 
450,218,-6 
460,218,-22 
470,218,55 
480,380,294 
490,446,56 
500,446,-96 
510,446,-92 
520,446,-38 
530,446,-5 
540,446,0 
550,446,-14 
560,446,-43 
570,446,-7 
580,446,-2 
590,446,-1 
600,446,-3 
610,446,-2 
620,446,-13 
630,446,-23 
640,446,-6 
650,446,-1 
660,446,-6 
670,446,-1 
680,446,-3 
690,446,-14 
700,446,-11 
710,446,-3 
720,446,-5 
730,446,0 
740,446,-4 
750,446,-3 
760,446,-6 
770,446,-5 
780,446,-9 
790,446,0 
800,446,0 
810,446,-2 
820,446,-1 
830,446,-3 
840,446,-1 
843,446,0 
