time,tr_Post_Register,tr_Get_Root,page,tr_Get_Register,tr_Get_Book,tr_Redirect_Root 
0,328.992,358.678,358.502,28.05,,195.011 
10,328.992,572.61,572.485,72.647,,432.472 
20,628.827,937.475,937.36,133.92,,873.923 
30,628.827,937.475,1770.131,133.92,,1770.248 
40,628.827,937.475,1770.131,133.92,,1770.248 
50,628.827,937.475,1770.131,133.92,,1770.248 
60,628.827,937.475,60009.786,133.92,60009.979,1770.248 
70,628.827,937.475,60022.816,133.92,60022.976,1770.248 
80,628.827,937.475,60022.816,133.92,60022.976,1770.248 
90,60002.026,937.475,60022.816,59998.913,60022.976,1770.248 
100,60002.026,937.475,60022.816,59998.913,60022.976,60001.692 
110,60002.026,937.475,60022.816,59998.913,60022.976,60001.692 
120,60002.026,937.475,60022.816,59998.913,60022.976,60001.692 
130,60002.026,937.475,60022.816,59998.913,60022.976,60001.692 
140,60002.026,937.475,60022.816,59998.913,60022.976,60001.692 
150,60002.026,937.475,60045.053,59998.913,60022.976,60045.184 
152,60002.026,937.475,60045.053,59998.913,60022.976,60045.184 
