time,tr_Post_Register,tr_Get_Root,page,tr_Get_Register,tr_Get_Book,tr_Redirect_Root 
0,74.07655191921395,92.67452028173656,100.85353844537536,6.891096119515026,,12.774494654877744 
10,38.88222451835921,100.80561973286949,141.9043702441805,17.007377592969583,,80.36361799290206 
20,128.60381946035915,220.9684877850858,257.02236589279903,22.270754726329603,,179.8267236047238 
30,78.56612488067255,154.0527380700807,322.4354418988558,21.99366374079261,,295.71421136249586 
40,0,0,0,0,,0 
50,0,0,0,0,,0 
60,0,0,0.0,0,0,0 
70,0,0,5.9292241968397486,0,5.924266327643099,0 
80,0,0,2.8813906289501676,0,2.8941070511072176,0 
90,0.0,0,2.264274788039168,0.0,2.3057545298996494,0 
100,0,0,0.9612354550263982,0,1.0157277631788968,0.25900000000001455 
110,0,0,0,0,0,0 
120,0,0,0,0,0,0 
130,0,0,0,0,0,0 
140,0,0,0,0,0,0 
150,0,0,0.0,0,0,0.0 
152,0,0,0,0,0,0 
