time,tr_Post_Register,tr_Get_Root,page,tr_Get_Register,tr_Get_Book,tr_Redirect_Root 
0,180.9444,171.05049999999997,122.10660714285714,9.296222222222221,,182.07174999999998 
10,171.8894375,319.56471428571433,201.55859375,12.4806875,,295.33899999999994 
20,229.51908571428572,515.6151538461538,292.5494779411765,14.791157894736841,,462.59408333333334 
30,208.55811111111115,524.6063333333333,394.61252173913056,12.796416666666666,,611.6281212121213 
40,0,0,0,0,,0 
50,0,0,0,0,,0 
60,0,0,60009.786,0,60009.979,0 
70,0,0,60004.60441666667,0,60004.77575000001,0 
80,0,0,59999.877291666664,0,60000.04995833332,0 
90,60002.026,0,60000.5469117647,59998.913,60000.726718750004,0 
100,0,0,60000.654,0,60000.41966666666,60001.433000000005 
110,0,0,0,0,0,0 
120,0,0,0,0,0,0 
130,0,0,0,0,0,0 
140,0,0,0,0,0,0 
150,0,0,60045.053,0,0,60045.184 
152,0,0,0,0,0,0 
