time,tr_Post_Register,tr_Get_Root,page,tr_Get_Register,tr_Get_Book,tr_Redirect_Root 
0,138.575,81.781,5.427,5.637,,160.958 
10,138.575,81.781,5.28,5.441,,160.958 
20,138.575,81.781,4.901,5.058,,160.958 
30,138.575,81.781,4.901,5.058,,160.958 
40,138.575,81.781,4.901,5.058,,160.958 
50,138.575,81.781,4.901,5.058,,160.958 
60,138.575,81.781,4.901,5.058,60009.979,160.958 
70,138.575,81.781,4.901,5.058,59999.834,160.958 
80,138.575,81.781,4.901,5.058,59996.305,160.958 
90,138.575,81.781,4.901,5.058,59995.745,160.958 
100,138.575,81.781,4.901,5.058,59995.745,160.958 
110,138.575,81.781,4.901,5.058,59995.745,160.958 
120,138.575,81.781,4.901,5.058,59995.745,160.958 
130,138.575,81.781,4.901,5.058,59995.745,160.958 
140,138.575,81.781,4.901,5.058,59995.745,160.958 
150,138.575,81.781,4.901,5.058,59995.745,160.958 
152,138.575,81.781,4.901,5.058,59995.745,160.958 
