time,nomatch,match,match_stop 
60,1,223,1 
70,13,223,13 
80,37,223,37 
90,70,223,70 
100,75,223,75 
110,75,223,75 
120,75,223,75 
130,75,223,75 
140,75,223,75 
150,76,223,76 
152,76,223,76 
