time,tr_Post_Register,tr_Get_Root,page,tr_Get_Register,tr_Get_Book,tr_Redirect_Root 
0,0.5,1,2.8,0.9,,0.4 
10,1.6,2.1,6.4,1.6,,1.1 
20,3.5,3.9,13.6,3.8,,2.4 
30,1.8,0.6,6.9,1.2,,3.3 
40,0,0,0,0,,0 
50,0,0,0,0,,0 
60,0,0,0.1,0,0.1,0 
70,0,0,1.2,0,1.2,0 
80,0,0,2.4,0,2.4,0 
90,0.1,0,3.4,0.1,3.2,0 
100,0,0,0.5,0,0.3,0.2 
110,0,0,0,0,0,0 
120,0,0,0,0,0,0 
130,0,0,0,0,0,0 
140,0,0,0,0,0,0 
150,0,0,0.1,0,0,0.1 
152,0,0,0,0,0,0 
