time,users,connected 
0,19,18 
10,19,20 
20,7,8 
30,0,0 
40,38,37 
50,45,47 
60,15,15 
70,0,1 
80,38,38 
90,77,77 
100,33,36 
110,7,7 
120,1,1 
130,1,1 
140,106,104 
150,184,187 
160,75,78 
170,12,12 
180,1,1 
190,57,54 
200,343,341 
210,280,281 
220,89,89 
230,11,11 
240,2,2 
250,1,1 
260,111,85 
270,676,655 
280,637,653 
290,241,258 
300,91,95 
310,18,20 
320,3,3 
330,852,802 
340,1804,1613 
350,1704,1703 
360,1468,1482 
370,946,967 
380,428,437 
390,225,227 
400,203,203 
410,195,195 
420,173,173 
430,119,121 
440,47,48 
450,12,12 
460,2,2 
469,0,0 
