time,200,500,422,302 
0,1.9,,,0.4 
10,3.3,,,0.9 
20,0.9,1.1,,0.2 
30,0.4,1.3,0.3,0.6 
40,2.2,0.2,0,0.9 
47,0.3,0.4,0,0.7 
