time,tr_Post_Register,tr_Get_Root,page,tr_Get_New_Conversation,tr_Post_New_Post,tr_Redirect_To_New_Post,tr_Get_Register,tr_Get_Book,tr_Redirect_Root 
0,132.932,202.875,3886.549,,,,14.375,3886.688,42.162 
10,156.145,362.034,3886.549,18.163,81.009,104.618,14.375,3886.688,283.741 
20,5156.209,5005.309,16416.863,858.187,81.009,104.618,14.375,16416.97,5005.184 
30,5156.209,5005.309,23939.134,5005.2,4930.61,5004.308,14.375,23939.29,5005.848 
40,5156.209,5005.309,24246.294,5005.2,4930.61,5004.308,14.375,24246.423,5005.848 
47,5156.209,5005.309,24246.294,5005.2,4930.61,5004.308,14.375,24246.423,5005.848 
