time,tr_Post_Register,tr_Get_Root,page,tr_Get_New_Book,tr_Get_Register,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Post_New_Book 
0,126.136,74.812,12.865,,13.096,,93.326, 
10,121.868,62.813,6.591,10.864,6.886,12.213,73.641,6.771 
20,119.168,62.813,5.553,7.118,5.816,8.03,73.641,6.771 
30,119.168,62.813,5.532,7.118,5.651,7.834,73.641,6.771 
40,119.168,62.813,5.532,7.118,5.651,7.834,73.641,6.771 
50,119.168,62.813,5.532,7.118,5.651,7.834,73.641,6.771 
52,119.168,62.813,5.532,7.118,5.651,7.834,73.641,6.771 
