time,tr_Post_Register,tr_Get_Root,page,tr_Get_New_Book,tr_Get_Register,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Post_New_Book 
0,0.4,1.9,3.6,,1,,0.3, 
10,2.5,1.6,12.2,1.8,1.9,0.9,2.1,1.4 
20,2.5,3.7,18.8,2.3,3.3,2.2,2.4,2.4 
30,2.1,0.5,14.7,2.9,1.5,2.4,2.5,2.8 
40,0.2,0,3.7,0.7,0,1.5,0.4,0.9 
50,0,0,0.8,0,0,0.6,0,0.2 
52,0,0,0.1,0,0,0.1,0,0 
