time,tr_Post_Register,tr_Get_Root,page,tr_Get_New_Book,tr_Get_Register,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Post_New_Book 
0,173.361,151.191,173.171,,54.296,,108.945, 
10,194.532,151.191,194.33,85.073,54.296,57.846,115.613,39.327 
20,194.532,272.759,272.606,85.073,56.414,58.275,173.966,43.893 
30,194.532,272.759,272.606,85.073,56.414,58.275,198.019,43.893 
40,194.532,272.759,272.606,85.073,56.414,58.275,243.489,43.893 
50,194.532,272.759,272.606,85.073,56.414,58.275,243.489,43.893 
52,194.532,272.759,272.606,85.073,56.414,58.275,243.489,43.893 
