time,request,connect 
0,104.09903448275858,2.7625454545454544 
10,89.47176422764228,1.8155625000000002 
20,91.5068513513514,0 
30,78.75461538461538,0 
40,69.2922537313433,2.087230769230769 
50,86.99276836158192,1.830210526315789 
60,88.36655118110242,0 
70,68.87532,0 
80,115.47227272727268,0 
90,72.82470283018861,1.9298059701492536 
100,83.20257729941284,1.828377358490566 
110,79.54264013840832,0 
120,63.92447058823529,0 
130,91.61668888888889,1.7632272727272726 
140,88.71991608391589,1.8184482758620701 
150,143.5419535714283,1.969864864864865 
160,107.22206574394467,0 
170,69.14715000000001,0 
180,176.64044444444443,0 
190,131.91998823529408,1.7364727272727276 
200,159.98165279672602,1.6897714285714294 
210,248.70228622754468,1.7250980392156867 
220,332.71789715189914,0 
230,3066.795357142858,0 
240,71.5096756756757,0 
250,37.967454545454544,0 
260,229.23581524008372,1.653915966386555 
270,1660.8768157644824,1.7347624190064808 
280,3286.4385735963574,0 
290,4319.555727016875,0 
300,5955.414414250211,1.779 
310,5389.347465116283,1.4918 
320,2649.811338983051,1.633571428571429 
330,742.8066893617023,0 
340,5684.7699692307715,0 
350,12256.429591836724,0 
360,18602.616873239447,0 
370,9806.41423469388,0 
380,15689.546113636366,0 
390,7751.013080645166,0 
400,9.773266666666666,0 
402,0,0 
