time,request,connect 
0,7.546,1.736 
10,5.977,1.524 
20,5.977,1.524 
30,5.977,1.524 
40,5.318,1.524 
50,5.318,1.508 
60,5.318,1.508 
70,5.318,1.508 
80,5.318,1.508 
90,5.042,1.508 
100,5.042,1.508 
110,5.042,1.508 
120,5.042,1.508 
130,4.997,1.394 
140,4.997,1.176 
150,4.997,1.176 
160,4.997,1.176 
170,4.997,1.176 
180,4.997,1.176 
190,4.997,1.176 
200,4.997,1.156 
210,4.997,1.156 
220,4.997,1.156 
230,4.997,1.156 
240,4.997,1.156 
250,4.997,1.156 
260,4.997,1.122 
270,4.997,1.122 
280,4.997,1.122 
290,4.997,1.122 
300,1.212,1.122 
310,1.014,1.122 
320,0.951,1.122 
330,0.951,1.122 
340,0.951,1.122 
350,0.951,1.122 
360,0.951,1.122 
370,0.951,1.122 
380,0.951,1.122 
390,0.951,1.122 
400,0.951,1.122 
402,0.951,1.122 
