time,200,400,404,502,422,302 
0,24,,,,,17 
10,91,,,,,65 
20,133,,,,,89 
30,138,,,,,92 
40,202,,,,,134 
50,355,,,,,240 
60,441,,,,,289 
70,462,,,,,299 
80,595,,,,,376 
90,909,,,,,599 
100,1069,,,,,695 
110,1096,,,,,706 
120,1101,,,,,708 
130,1102,,,,,709 
140,1102,,,,,709 
150,1171,,,,,730 
160,1677,,,,,1065 
170,2169,,,,,1408 
180,2365,,,,,1503 
190,2396,,,,,1515 
200,2576,,,,,1563 
210,3540,,,,,2234 
220,4548,,,,,2922 
230,4880,,,,,3080 
240,4925,,,,,3100 
250,4928,,,,,3101 
260,5191,,,,,3162 
270,6987,,,,,4366 
280,9038,,,,,5767 
290,9817,,,,,6155 
300,9953,,,,,6212 
310,9967,,,,,6219 
320,9967,,,,,6219 
330,10504,,,,,6360 
340,14193,,,,,8839 
350,18348,,,,,11743 
360,19757,,,,,12446 
370,19961,,,,,12529 
380,19984,,,,,12539 
390,19985,,,,,12539 
400,19986,,,,,12540 
410,23937,,,,,14716 
420,32880,,,,,21084 
430,38042,,,,,24145 
440,39196,,,,,24669 
450,39329,,,,,24720 
460,39347,,,,,24727 
470,39349,,,,,24728 
480,41407,,,,,25225 
490,52020,,,,2,32228 
500,62606,11,2,952,240,40541 
510,72303,22,18,1013,299,46158 
520,78536,33,23,1013,305,49251 
530,79116,33,26,1013,305,49439 
540,79164,33,26,1013,305,49453 
550,79169,33,26,1013,305,49454 
560,89508,36,26,1861,356,53981 
570,101754,380,38,20012,2843,61607 
580,111697,1393,251,32355,5020,67081 
590,121432,1892,638,32367,5463,71746 
600,122848,1947,719,32367,5488,72301 
610,122954,1947,729,32367,5488,72344 
620,122962,1947,729,32367,5488,72346 
628,122962,1947,729,32367,5488,72346 
