time,tr_Post_Register,tr_Get_Root,page,tr_Request_Friend,tr_Post_Login,tr_Get_Friends,tr_Get_New_Friend,tr_Get_Logout,tr_Get_Register,tr_Redirect_Root,tr_Get_Login 
0,0.3,0.6,1.3,,,,,,0.4,, 
10,0.7,0.4,5.8,0.1,0.6,0.2,0.1,0.9,0.6,1.5,0.7 
20,0,0,2.9,0.5,0.3,0.6,0.7,0.1,0,0.4,0.3 
27,0,0,1,0.4,0.1,0.2,0.2,0,0,0.1,0 
