time,tr_Post_Register,tr_Get_Root,page,tr_Request_Friend,tr_Post_Login,tr_Get_Friends,tr_Get_New_Friend,tr_Get_Logout,tr_Get_Register,tr_Redirect_Root,tr_Get_Login 
0,155.706,34.229,155.579,,,,,,7.647,, 
10,218.629,34.229,218.474,6.741,178.131,28.45,7.345,8.959,7.647,32.574,7.166 
20,218.629,34.229,235.898,157.54,236.055,28.45,7.345,38.334,7.647,32.574,12.845 
27,218.629,34.229,235.898,157.54,236.055,28.45,7.345,38.334,7.647,32.574,12.845 
