time,request,connect 
0,79.41240123763731,10.401454766041141 
10,643.7177426433714,5.983743702011144 
20,2523.7466945517917,0 
30,4798.681118826567,0 
40,6514.877402674748,0 
50,4887.958344281281,0 
60,22313.283571909174,0 
70,25942.79159120506,0 
80,25936.805377370467,0 
90,120.83245207708069,4.471853614554036 
100,209.90154420066352,63.81769542076381 
110,483.15104826694653,14.932104076787038 
120,1409.8214764849765,0 
130,6618.806605981673,0 
140,16924.922632029156,0 
150,21215.14272399203,0 
160,26851.052355373125,0 
170,26615.147445009847,0 
180,20351.28301392885,0 
190,22373.125305706442,0 
200,21963.974751017748,0 
210,22630.007250261042,0 
220,19487.562644276586,0 
230,1407.9116925321218,0 
240,2673.7293822419356,0 
250,3689.061932308571,0 
251,1137.224091798971,0 
