time,200,400,404,502,422,302 
0,29,,,,,18 
10,101,,,,,68 
20,131,,,,,88 
30,146,,,,,93 
40,250,,,,,158 
50,404,,,,,256 
60,447,,,,,280 
70,455,,,,,283 
80,527,,,,,318 
90,791,,,,,499 
100,984,,,,,621 
110,1042,,,,,648 
120,1051,,,,,651 
130,1226,,,,,724 
140,1531,,,,,921 
150,1860,,,,,1213 
160,2254,,,,,1435 
170,2346,,,,,1471 
180,2413,,,,,1482 
190,2788,,,159,,1638 
200,3117,18,,1032,83,1834 
210,3533,51,4,1316,158,2099 
220,3953,81,24,1316,173,2349 
230,4041,85,28,1316,175,2384 
240,4046,85,28,1316,175,2385 
249,4047,85,29,1316,175,2387 
