time,cpu@tsung_controller@ip-172-31-29-147 
0,0.07081903930631342 
10,0.0020820970881872225 
20,0.008327868169846871 
30,0.00832838835274889 
40,0.004164714456765058 
50,0.03019229367731726 
60,0.021865206209718564 
70,0.00936855911560802 
80,0.005206055683971596 
90,0.061421224676757785 
100,0.06769141048071316 
110,0.022903544844099736 
120,0.0031232756915452924 
130,0.003123340725239717 
140,0.09373925904323463 
150,0.19789811371850557 
160,0.07288553846794597 
170,0.01874199560604325 
180,0.014573465882475406 
190,0.22617124394184168 
200,0.4158112487885199 
210,0.1697633727712048 
220,0.022904975585378295 
230,0.053099003612814555 
240,0.45146962224608744 
250,0.6674871195844893 
260,0.36260953829802756 
270,0.062464863514273224 
280,0.01561832967170271 
284,0.0041641508255429015 
