time,tr_Post_Register,tr_Get_Root,page,tr_Get_Register,tr_Get_Book,tr_Redirect_Root 
0,155.9429,94.5039090909091,90.23366666666669,40.73318750000001,,99.13333333333334 
10,146.09414285714283,80.59333333333332,84.23054117647061,31.89915,,77.16204347826087 
20,138.8226923076924,67.63645652173913,73.43598076923074,16.887074999999996,,73.51777419354839 
30,141.81568421052637,81.26,80.62986885245903,13.177714285714286,,72.88903703703703 
40,125.789,0,80.253,0,,65.27433333333333 
50,0,0,0,0,,0 
60,0,0,60006.29275,0,60006.500499999995,0 
70,0,0,60016.005699999994,0,60016.177299999996,0 
80,0,0,60009.586285714286,0,60009.74746428571,0 
90,0,0,60007.554696969695,0,60007.71954545455,0 
100,0,0,60003.90619999999,0,60004.0764,0 
101,0,0,0,0,0,0 
