time,tr_Post_Register,tr_Get_Root,page,tr_Get_Register,tr_Get_Book,tr_Redirect_Root 
0,168.052,170.777,167.902,86.846,,126.624 
10,193.425,170.777,193.285,86.846,,126.624 
20,193.425,170.777,193.285,86.846,,126.624 
30,193.425,170.777,193.285,86.846,,126.624 
40,193.425,170.777,193.285,86.846,,126.624 
50,193.425,170.777,193.285,86.846,,126.624 
60,193.425,170.777,60021.309,86.846,60021.478,126.624 
70,193.425,170.777,60043.349,86.846,60043.505,126.624 
80,193.425,170.777,60061.827,86.846,60062.067,126.624 
90,193.425,170.777,60061.827,86.846,60062.067,126.624 
100,193.425,170.777,60061.827,86.846,60062.067,126.624 
101,193.425,170.777,60061.827,86.846,60062.067,126.624 
