time,tr_Post_Register,tr_Get_Root,page,tr_Get_Register,tr_Get_Book,tr_Redirect_Root 
0,13.760068767633392,26.337340674599577,45.25272382593855,21.419520163331015,,23.760294629673453 
10,19.990996917149886,15.31513211028738,43.77820255186176,15.448876338669423,,18.883995612752546 
20,16.30945470508198,15.980663576180627,46.73824444363211,16.028755122259962,,19.84910788717602 
30,14.906409596484718,0.0,49.903410025235104,13.904165796256743,,17.72140983748917 
40,0.0,0,27.86306651285892,0,,10.93289288746985 
50,0,0,0,0,,0 
60,0,0,8.835302495530405,0,8.804183565215542,0 
70,0,0,17.366182093654057,0,17.36073089792027,0 
80,0,0,16.32063461182265,0,16.32848410093386,0 
90,0,0,13.536382049833907,0,13.540761092908664,0 
100,0,0,4.53951708444847,0,4.530892300641492,0 
101,0,0,0,0,0,0 
