time,request,connect 
0,3.1,1.3 
10,10.9,1.1 
20,6.1,0 
30,1.4,0 
40,6.3,2.4 
50,22.3,2.8 
60,14.4,0 
70,2.4,0 
80,3.8,2.5 
90,37.4,7.6 
100,41.3,1.9 
110,18.6,0 
120,4.4,0 
130,5.8,3.5 
140,59.5,13.9 
150,81.1,3.8 
160,35,0 
170,7.1,0 
180,0,0 
190,15.9,10.4 
200,116.3,31 
210,127.2,6.6 
220,109.5,0 
230,41.9,0 
240,9.3,0 
250,18.3,15.1 
260,100.3,62.7 
270,161.6,17.1 
280,151.4,2 
290,113.5,0.4 
300,117.7,2.2 
310,101.6,0.8 
320,12.9,0 
330,10.5,0 
340,24.6,0 
350,3.9,0 
360,1.3,0 
370,3.9,0 
377,0.7,0 
