time,200,400,504,404,502,422,302 
0,1.9,,,,,,1.2 
10,6.3,,,,,,4.6 
20,4.2,,,,,,1.9 
30,0.9,,,,,,0.5 
40,4.1,,,,,,2.3 
50,12.9,,,,,,9.3 
60,8.9,,,,,,5.5 
70,1.8,,,,,,0.6 
80,3.2,,,,,,0.6 
90,22.1,,,,,,15.3 
100,24.1,,,,,,17.2 
110,12.3,,,,,,6.3 
120,3,,,,,,1.4 
130,5,,,,,,0.8 
140,36,,,,,,23.5 
150,47.3,,,,,,33.8 
160,22.4,,,,,,12.6 
170,4.9,,,,,,2.2 
180,0,,,,,,0 
190,13.2,,,,,,2.8 
200,64.3,,,,,,52 
210,73.6,,,,,,53.5 
220,72.4,,,,,,37.1 
230,28.6,,,,,,13.3 
240,6,,,,,,3.3 
250,15,,,,,,3.3 
260,46.7,,,,,,53.6 
270,49.1,2.1,,,77,12.7,20.7 
280,80.5,1.4,,0.3,2.8,4.2,62.4 
290,65.4,0.5,,0,0.3,2.1,45 
300,78.1,2.3,,1.1,0,3,33.4 
310,69,0.5,,0.3,0,0.5,31.1 
320,10.4,0,,0,0,0,2.5 
330,6.3,0,0.5,0,0,0,3.7 
340,14.8,0,0.1,0,0,0,9.7 
350,2.1,0,0.2,0,0,0,1.6 
360,0.5,0,0.5,0,0,0,0.3 
370,0.2,0,3.6,0,0,0,0.1 
377,0,0,0.7,0,0,0,0 
