time,request,connect 
0,48.99038536467897,3.4085043885356328 
10,51.56912107563293,0.16936187229415667 
20,66.46606798666443,0 
30,28.955843904899375,0 
40,0,0 
50,0.0,0 
60,44.89276986018282,0.908844512419535 
70,49.552525328685725,0.390858337508617 
80,76.75453446571396,0 
90,27.539627967370887,0 
100,37.89012640412555,1.2512417711304533 
110,58.044935839324914,0.2262016621700079 
120,81.19348284005538,2.774470052281321 
130,91.49823878069589,0 
140,36.188847872134595,0 
150,46.39791094979983,0.16640373383341076 
160,54.373674003919994,0.4704732636299682 
170,156.09936076729764,0.47372561592516127 
180,107.03099769243873,0 
190,197.9986702662671,0 
200,40.637389241944476,1.0839465834135755 
210,84.83790269031158,1.2624567092460006 
220,201.25671100919382,0.8736682001984658 
230,306.8780431631605,0 
240,460.0940616298788,0 
250,14.772754524800042,0 
260,42.18078036287499,0.7870259844698142 
270,121.97944195572485,1.01816546615269 
280,445.4311858468248,1.0628938731594986 
290,830.6937612943284,0 
300,546.8884540226882,0 
310,666.0409288154372,0 
320,52.59458893789245,1.2581492425883314 
330,284.5782488845674,0.3249351672393287 
340,1094.2744879012396,0 
350,3781.221425667608,0 
360,4265.666095228629,0 
370,1045.2863447632874,0 
380,6.769673576571718,0 
390,0.0,0 
400,48.28918241582147,0.5396574377915766 
410,87.38184137140438,0.7476005775575105 
420,169.96492388474456,0.3907692365026777 
430,159.3172087061769,0.07996752813208348 
440,2166.0398365402593,0 
450,15037.14990768053,0 
460,18516.984498138103,0 
470,28382.99053628624,0 
480,26675.540009654913,0 
490,21435.33823778009,0 
500,8185.811889141182,0 
510,8748.849494016345,0 
517,12.013316850895093,0 
