time,200,404,504,422,302 
0,28,,,,16 
10,92,,,,60 
20,135,,,,83 
30,140,,,,85 
40,140,,,,85 
50,141,,,,85 
60,209,,,,119 
70,360,,,,233 
80,433,,,,275 
90,461,,,,286 
100,503,,,,297 
110,737,,,,449 
120,985,,,,608 
130,1067,,,,657 
140,1079,,,,661 
150,1163,,,,697 
160,1690,,,,1060 
170,2176,,,,1381 
180,2332,,,,1472 
190,2355,,,,1481 
200,2509,,,,1518 
210,3480,,,,2202 
220,4505,,,,2865 
230,4851,,,,3050 
240,4907,,,,3076 
250,4913,,,,3078 
260,5198,,,,3160 
270,7079,,,,4412 
280,9172,,,,5862 
290,9876,,,,6221 
300,10027,,,,6292 
310,10051,,,,6304 
320,12047,,,,7406 
330,16424,,,,10558 
340,18924,,,,12041 
350,19630,,,,12369 
360,19872,,,,12516 
370,19910,,,,12541 
380,19914,,,,12543 
390,19915,,,,12543 
400,21169,,,,12900 
410,28653,,,,17889 
420,36253,,,,23323 
430,38973,,,,24598 
440,39366,,,,24702 
450,39413,,,,24719 
460,39442,,,,24739 
470,39506,4,33,20,24774 
480,39726,83,202,166,24803 
490,40078,233,292,287,24840 
500,40191,282,295,295,24857 
510,40217,295,296,296,24862 
517,40220,296,296,296,24863 
