time,tr_Post_Register,tr_Get_Root,page,tr_Get_Register,tr_Redirect_Root 
0,9.239,23.672,17.397,12.323,7.549 
10,9.239,23.672,17.397,12.323,9.265 
13,9.239,23.672,17.397,12.323,9.265 
