time,tr_Post_Register,tr_Get_Root,page,tr_Get_Register,tr_Redirect_Root 
0,2.404,6.998,2.18,5.884,6.893 
10,2.24,6.998,2.047,5.762,6.893 
13,2.24,6.998,2.047,5.762,6.893 
