time,tr_Post_Register,tr_Get_Root,page,tr_Redirect_To_Same_Conversation,tr_Get_New_Conversation,tr_Post_New_Conversation,tr_Get_Register,tr_Get_Conversations,tr_Redirect_Root,tr_Redirect_To_New_Conversation,tr_Reply_To_Conversation 
0,14.05980943149657,16.21928822561134,42.39203116225774,,,,1.7667082731591472,0.24249581897884812,12.27919397802641,, 
10,18.04189135075548,71.08725271277362,431.6726067834201,7.824136971381494,296.3587277944597,6.7925557618453,5.422762437511548,1.9969101255656891,61.21220173772748,6.860406163950864,9.351013859688244 
20,1213.7059027893613,1472.714451443807,1703.2461509422424,311.29778866009747,1415.6212854340572,1324.6576540970348,36.39666021387194,1200.411707845267,1600.1670971608628,1508.4268086047648,1443.1095006661446 
30,1622.7788418489065,782.3129843351716,2151.9807590394353,819.5989385938634,1572.0259011946844,1562.6973600494327,248.7942842524835,1260.1610760266672,1494.3134441874965,1652.866218461064,2066.190568317068 
40,1059.8150920929813,1210.7172806331102,1933.6085839306054,1079.8145519554735,2054.064697279564,742.1494032968062,1185.049539580446,1680.7890243994436,1240.4869017156627,688.2773697660695,1503.3907216549608 
50,1120.3729775216584,927.9901348674127,2302.5910899586147,0.0,2544.96877782595,1920.504999462878,554.7752669850902,1166.6255049712142,1113.9623312046963,1159.9504734167372,2004.5529857988543 
60,688.8204663808815,0,2390.019750039255,477.1184969646818,2729.417026323325,1605.6895394047447,403.26476125670644,1143.374541348573,666.380774876006,1330.0528736568058,1067.5777984423432 
70,776.6697364794032,0,3246.032952788259,1694.9994712634732,4217.613918879769,1871.4102655448082,0,2416.853267732074,602.3513191253564,570.7460138666388,2308.5284654552074 
80,0.0,0,4084.883933412012,793.1167943174744,5033.480441422134,2786.872079105187,0,2545.24092082661,993.1869166097418,2379.491702079201,2470.1806797896606 
90,0,0,3873.8566417449274,2875.836799602526,3769.9688730838925,2668.9419106945834,0,355.5248497340885,0.0,2711.3000188852693,1964.0671665899222 
100,0,0,3707.0564459051725,2013.5033019696768,2898.968531260339,2629.100391864612,0,0.0,0,2024.3762518941273,1294.3410885831454 
110,0,0,17.6943200991401,9.300369764945149,0,0,0,0,0,2.940150718058168,11.36547985124847 
111,0,0,0,0,0,0,0,0,0,0,0 
