time,200,500,422,302,404 
0,2.5,,,0.4, 
10,10.7,,,3.5, 
20,12.4,,,3.9, 
30,16.7,1.5,0.4,4.2,0.1 
40,15.7,1.1,0,4.2,0 
50,11,2.2,0.4,3.9,0.3 
60,6.8,4.9,0.5,4.7,0.1 
70,8.3,1.7,0.8,4.5,0.3 
80,6.3,5.9,2.8,4.4,0.6 
90,3.6,7.2,3.6,5.6,3.5 
100,16.7,1.4,0.9,5.6,5.1 
110,2.3,0,0.1,1.2,0.5 
111,0,0,0,0,0 
