time,error_connection_closed 
1020,1 
1030,1 
1040,1 
1050,1 
1060,1 
1070,1 
1080,1 
1090,1 
1100,1 
1110,1 
1120,1 
1130,1 
1140,1 
1150,1 
1160,1 
1170,1 
1180,1 
1190,1 
1200,1 
1210,1 
1220,1 
1222,1 
