time,tr_Post_Register,tr_Get_Root,page,tr_Post_New_Post,tr_Redirect_To_New_Post,tr_Get_Register,tr_Get_Book,tr_Redirect_Root,tr_Get_New_Post 
0,0.9,1.7,4.3,,,1.2,,0.5, 
10,1.9,1.6,7.2,,,1.8,,1.9, 
20,2.6,3.8,11.6,,,3.2,,2, 
30,2.1,0.8,7.3,,,1.7,,2.7, 
40,0,0,0,,,0,,0, 
50,0,0,0,,,0,,0, 
60,0,0,0.4,,,0,0.4,0, 
70,0,0,1.7,,,0,1.7,0, 
80,0,0,1.7,,,0,1.7,0, 
90,0.3,0,3.2,,,0,2.8,0.1, 
100,0.1,0,0.9,,,0,0.5,0.3, 
110,0,0,0,,,0,0,0, 
120,0,0,0,,,0,0,0, 
130,0,0,0,,,0,0,0, 
140,0,0,0,,,0,0,0, 
150,0,0,0.3,,,0,0,0.3, 
160,0,0,0.1,,,0,0.1,0, 
170,0,0,0,,,0,0,0, 
180,0,0,0,,,0,0,0, 
190,0,0,0,,,0,0,0, 
200,0,0,1.1,0.3,0.2,0,0.3,0,0.3 
210,0,0,0,0,0,0,0,0,0 
218,0,0,0.1,0,0.1,0,0,0,0 
