time,tr_Post_Register,tr_Get_Root,page,tr_Post_New_Post,tr_Redirect_To_New_Post,tr_Get_Register,tr_Get_Book,tr_Redirect_Root,tr_Get_New_Post 
0,139.039,50.5,6.662,,,6.785,,52.409, 
10,139.039,50.5,6.662,,,6.785,,52.409, 
20,139.039,50.5,6.662,,,6.785,,52.409, 
30,139.039,50.5,6.662,,,6.785,,52.409, 
40,139.039,50.5,6.662,,,6.785,,52.409, 
50,139.039,50.5,6.662,,,6.785,,52.409, 
60,139.039,50.5,6.662,,,6.785,60002.218,52.409, 
70,139.039,50.5,6.662,,,6.785,59998.148,52.409, 
80,139.039,50.5,6.662,,,6.785,59998.117,52.409, 
90,139.039,50.5,6.662,,,6.785,59998.117,52.409, 
100,139.039,50.5,6.662,,,6.785,59998.117,52.409, 
110,139.039,50.5,6.662,,,6.785,59998.117,52.409, 
120,139.039,50.5,6.662,,,6.785,59998.117,52.409, 
130,139.039,50.5,6.662,,,6.785,59998.117,52.409, 
140,139.039,50.5,6.662,,,6.785,59998.117,52.409, 
150,139.039,50.5,6.662,,,6.785,59998.117,52.409, 
160,139.039,50.5,6.662,,,6.785,59998.117,52.409, 
170,139.039,50.5,6.662,,,6.785,59998.117,52.409, 
180,139.039,50.5,6.662,,,6.785,59998.117,52.409, 
190,139.039,50.5,6.662,,,6.785,59998.117,52.409, 
200,139.039,50.5,6.662,31.366,19.513,6.785,52105.788,52.409,12.756 
210,139.039,50.5,6.662,31.366,19.513,6.785,52105.788,52.409,12.756 
218,139.039,50.5,6.662,31.366,19.513,6.785,52105.788,52.409,12.756 
