time,tr_Post_Register,tr_Get_Root,page,tr_Post_New_Post,tr_Redirect_To_New_Post,tr_Get_Register,tr_Get_Book,tr_Redirect_Root,tr_Get_New_Post 
0,210.9458888888889,85.04876470588235,89.61302325581396,,,11.02925,,77.1774, 
10,211.66342105263152,196.7976875,163.59411111111112,,,11.662944444444442,,232.09521052631575, 
20,294.71369230769227,422.88623684210523,269.68319827586214,,,16.008249999999993,,352.8260999999999, 
30,314.65633333333335,647.14075,458.3928219178082,,,66.3474705882353,,761.5684444444443, 
40,0,0,0,,,0,,0, 
50,0,0,0,,,0,,0, 
60,0,0,60011.91075,,,0,60012.099,0, 
70,0,0,60001.80188235295,,,0,60001.9874117647,0, 
80,0,0,60001.802,,,0,60001.99858823529,0, 
90,58396.166999999994,0,59791.75740625001,,,0,60002.03307142856,58096.738, 
100,60000.921,0,60002.64199999999,,,0,60003.11780000001,60003.073333333334, 
110,0,0,0,,,0,0,0, 
120,0,0,0,,,0,0,0, 
130,0,0,0,,,0,0,0, 
140,0,0,0,,,0,0,0, 
150,0,0,52915.090000000004,,,0,0,52915.24133333333, 
160,0,0,60007.302,,,0,60007.488,0, 
170,0,0,0,,,0,0,0, 
180,0,0,0,,,0,0,0, 
190,0,0,0,,,0,0,0, 
200,0,0,14389.374454545457,132.74333333333334,21.7145,0,52597.645,0,16.845666666666666 
210,0,0,0,0,0,0,0,0,0 
218,0,0,21.311,0,21.543,0,0,0,0 
