time,nomatch,match,match_stop 
60,0.4,0,0.4 
70,1.7,0,1.7 
80,1.7,0,1.7 
90,2.8,0.4,2.8 
100,0.9,0,0.9 
110,0,0,0 
120,0,0,0 
130,0,0,0 
140,0,0,0 
150,0,0.3,0 
160,0.1,0,0.1 
170,0,0,0 
180,0,0,0 
190,0,0,0 
200,0,1.1,0 
210,0,0,0 
218,0,0.1,0 
