time,cpu@tsung_controller@ip-172-31-21-126 
0,0.01268815911653908 
10,0.01268815911653908 
20,0.01268815911653908 
30,0.00936836407544656 
40,0.005204917606154294 
50,0.005204917606154294 
60,0.005204917606154294 
70,0.005204917606154294 
80,0.00312269051014354 
90,0.00312269051014354 
100,0.00312269051014354 
110,0.00312269051014354 
120,0.00312269051014354 
130,0.00312269051014354 
140,0.00312269051014354 
150,0.00312269051014354 
160,0.00312269051014354 
170,0.00312269051014354 
180,0.00312269051014354 
190,0.00312269051014354 
200,0.00312269051014354 
210,0.00312269051014354 
220,0.00312269051014354 
230,0.00312269051014354 
240,0.00312269051014354 
