time,users,connected 
0,25,24 
10,22,22 
20,2,2 
30,0,0 
40,28,27 
50,40,41 
60,8,10 
70,3,3 
80,1,1 
90,30,26 
100,109,109 
110,50,50 
120,13,13 
130,2,2 
140,136,133 
150,160,161 
160,56,56 
170,6,7 
180,1,1 
190,130,127 
200,418,416 
210,191,192 
220,33,34 
230,2,2 
240,233,233 
250,793,778 
260,412,435 
270,83,87 
280,11,12 
290,0,0 
300,1043,1018 
310,1305,1333 
320,380,403 
330,64,71 
340,4,4 
350,0,0 
360,0,0 
370,950,896 
380,3310,2759 
390,3181,3148 
400,1685,1736 
410,184,192 
420,15,15 
430,0,1 
440,0,0 
450,4508,4090 
460,6709,6323 
470,3864,3750 
480,559,524 
490,59,55 
