time,tr_Post_Register,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Conversation,tr_Get_Register,tr_Get_Conversations,tr_Redirect_Root,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Get_New_Conversation,tr_Reply_To_Conversation 
0,153.32239999999996,73.27939344262296,,30.184,7.033846153846154,9.546714285714286,41.3515,,45.36852380952381,1475.577, 
10,156.664,185.30529496402877,27.753888888888884,24.724363636363634,9.825409090909094,11.621764705882352,84.92373684210527,25.621100000000002,68.53545454545457,1645.3725454545456,60.625 
20,273.2737567567567,658.2806373626373,128.21733333333336,259.35699999999997,24.870187500000004,91.98971999999999,422.2364444444445,198.69480000000001,418.7862903225806,7034.238909090909,211.82266666666666 
30,490.1333333333333,767.1297028112452,438.2651111111111,276.14325,132.38651923076924,175.89378787878786,973.9340833333333,441.5057,1059.8489999999997,10387.868,651.1501999999999 
40,2469.4376428571436,3695.5281022727268,2525.174666666667,3254.7036,2755.369555555555,2882.4003125000004,3486.1490952380955,3232.018666666667,3442.914157894738,18247.929714285714,3229.7665 
50,3376.3255681818187,2970.631402380954,6169.263,2103.7434000000003,1487.9489923664123,3595.5804,3100.5887999999995,2248.1271666666667,2603.2588424242417,15587.136058823531,1295.6274999999998 
60,4956.750605263158,7220.571204301076,9002.51,5595.884071428571,5417.95976785714,6704.573200000001,5016.879714285713,0,7547.422036144578,28448.703285714284,0 
70,5491.50864893617,8659.084900862068,0,6182.335866666665,4740.097044444445,5448.165857142857,7302.392552631578,5867.685272727272,0,36660.56122727272,6664.8369999999995 
80,4870.185920000001,5836.3209750889755,3922.6325833333335,5111.445937500001,5038.545,3639.2393655913966,5546.5342685185215,4233.264578947369,0,43488.54842857143,4339.885624999997 
90,0,16069.038800000004,6010.2765,0.576,0,3934.5204000000003,9150.428666666667,1348.5776666666668,0,29208.728937500004,2607.0974 
100,0,28652.8464090909,0,8888.258,0,18737.881833333337,0,19157.97025,0,42353.048599999995,18554.146 
110,0,32982.806100000016,28145.5215,30191.122,0,27157.049000000003,28254.923499999997,28106.912,0,44325.717222222214,24275.792 
120,0,39833.2663064516,35623.0274,37121.078,0,36158.704150000005,0,37302.159,0,42543.98571874998,37359.25980000001 
130,0,36040.77955172415,27316.961,30756.17426666666,0,32136.438,0,27293.0,0,46030.16677777778,27181.1285 
140,0,60179.412837837845,0,0,0,0,0,0,0,60179.59321621624,0 
150,0,60140.979,0,0,0,0,0,0,0,60141.20249999999,0 
160,0,60244.538875,0,0,0,0,0,0,0,60244.766125,60145.487 
170,0,61459.751666666656,60240.059,60262.4391111111,0,60739.673,0,0,0,60556.80458333332,60359.58966666667 
180,0,63785.99039622643,60387.8894,60255.55109374999,0,0,0,60147.992,0,60247.05835714286,60391.793000000005 
190,0,61639.046944444446,60209.518500000006,60081.82544444445,0,0,0,60136.381199999996,0,60145.043900000004,60106.105500000005 
200,0,60370.51666666666,0,0,0,0,0,60370.76866666667,0,0,0 
201,0,0,0,0,0,0,0,0,0,0,0 
