time,tr_Post_Register,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Conversation,tr_Get_Register,tr_Get_Conversations,tr_Redirect_Root,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Get_New_Conversation,tr_Reply_To_Conversation 
0,337.626,1475.402,,30.184,13.29,13.118,66.174,,84.281,1475.577, 
10,337.626,1963.778,33.749,33.393,40.071,24.608,224.373,28.762,116.077,1963.947,170.795 
20,453.616,8968.002,223.251,352.143,162.874,342.29,725.573,367.813,783.019,8968.115,314.378 
30,928.615,11821.679,670.598,352.143,486.809,526.427,1775.934,835.588,2134.258,11821.854,1296.789 
40,4318.938,20820.313,4308.466,4455.541,4089.126,4159.711,4744.243,4273.046,5154.232,20820.48,4237.29 
50,9181.761,29051.781,6521.15,6000.779,8736.118,8501.175,8373.554,6884.879,9616.304,29051.882,5180.205 
60,9181.761,35894.439,9002.51,8320.792,8736.118,8501.175,9939.086,6884.879,10153.124,35894.62,5180.205 
70,9181.761,40927.729,9002.51,8320.792,8736.118,8501.175,9939.086,6884.879,10153.124,40927.856,7329.846 
80,9181.761,45772.37,9002.51,8320.792,8736.118,8501.175,9939.086,6884.879,10153.124,45772.49,7329.846 
90,9181.761,49255.012,12020.009,8320.792,8736.118,9201.652,11610.557,6884.879,10153.124,49255.188,8653.592 
100,9181.761,49655.55,12020.009,17775.952,8736.118,19874.208,11610.557,20394.691,10153.124,49655.764,18554.146 
110,9181.761,49655.55,30313.692,30747.587,8736.118,29701.308,30702.884,31350.121,10153.124,49655.764,24275.792 
120,9181.761,49655.55,37486.325,37704.31,8736.118,37348.915,30702.884,37497.772,10153.124,49655.764,37999.885 
130,9181.761,49655.55,37486.325,37704.31,8736.118,37348.915,30702.884,37497.772,10153.124,49655.764,37999.885 
140,9181.761,60500.335,37486.325,37704.31,8736.118,37348.915,30702.884,37497.772,10153.124,60500.457,37999.885 
150,9181.761,60500.335,37486.325,37704.31,8736.118,37348.915,30702.884,37497.772,10153.124,60500.457,37999.885 
160,9181.761,60500.335,37486.325,37704.31,8736.118,37348.915,30702.884,37497.772,10153.124,60500.457,60145.487 
170,9181.761,84515.579,60240.059,60544.546,8736.118,61094.383,30702.884,37497.772,10153.124,62215.375,60834.258 
180,9181.761,98441.955,60542.915,60700.183,8736.118,61094.383,30702.884,60166.956,10153.124,62215.375,60834.258 
190,9181.761,98441.955,60542.915,60700.183,8736.118,61094.383,30702.884,60330.385,10153.124,62215.375,60834.258 
200,9181.761,98441.955,60542.915,60700.183,8736.118,61094.383,30702.884,60737.502,10153.124,62215.375,60834.258 
201,9181.761,98441.955,60542.915,60700.183,8736.118,61094.383,30702.884,60737.502,10153.124,62215.375,60834.258 
