time,tr_Post_Register,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Conversation,tr_Get_Register,tr_Get_Conversations,tr_Redirect_Root,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Get_New_Conversation,tr_Reply_To_Conversation 
0,61.70136811643643,189.24629436875168,,0,1.9917317492440454,1.6715685289388458,9.91000687436694,,12.983096833663772,0, 
10,30.654673491800374,433.6730689352674,6.5158117162014175,5.021955944065243,6.906554098424394,4.344456068700888,47.382330398402516,2.069401432781953,25.30474808972217,159.23109065720888,42.226839279722974 
20,67.40429551529937,1694.1473505030795,71.04440504517031,68.6568176512719,26.48867225041383,90.70673443819705,137.843292428686,113.62214256455472,171.64304664213208,1918.1181248752155,79.54453059485331 
30,182.48306353787103,1330.37969298345,173.391080848048,76.89343260765187,136.12513085682633,127.25024640703833,411.0380465721563,199.24133229882298,412.0646487904539,925.3237437154083,297.9094404482006 
40,1075.8193756142075,3206.2205664062562,1340.3599582364268,1073.764519396241,1103.5853050076887,1159.6337739243215,982.2098953586101,819.914017467821,1094.2459874408075,1820.7495064895447,1244.84431410006 
50,3606.898151786514,4921.02638652401,351.8869999999997,2618.282628343824,2739.413978170997,3179.74581534467,3220.958783058065,3179.5125161149795,3423.7751964088357,13114.69186192784,2242.761879702513 
60,2894.2632562570952,5919.157720836618,0.0,2993.4934476972953,2362.8132768454443,1181.1738788571986,4430.991644003557,0,2772.583818049096,8098.4421319314915,0 
70,527.564471134375,9139.555236869157,0,494.4415987093411,361.2420290546346,195.5895265691674,652.2000083928364,457.95895192911854,0,2344.0109896635217,504.9813612289729 
80,786.6652420223453,6217.235123097762,641.8680307726111,839.0682835471791,0.0,708.4178470834278,1141.462929760442,793.3139135348181,0,1519.568253674223,694.5040302760013 
90,0,19805.511920212604,6009.7325,0.0,0,3748.365492638923,2388.244029839265,1905.0852543355875,0,22664.080619343513,3466.45438710903 
100,0,16223.508087496388,0,8887.694000000001,0,587.5880076117428,0,1085.7964771478528,0,14202.119472913459,0.0 
110,0,7744.806302340691,2168.1705,556.4650000000001,0,1978.2330958426414,2447.9605,2301.2186588946,0,1269.058759403097,0.0 
120,0,3217.8671336426796,1971.0628028189842,501.2463261830455,0,1316.8557789326499,0,195.61299999999756,0,1160.0703399460144,694.4190992314054 
130,0,7688.397020063005,0.0,3270.368289544312,0,474.6818134842189,0,0.0,0,1383.9607312134399,414.47849999999835 
140,0,142.4700710934756,0,0,0,0,0,0,0,142.42621804253838,0 
150,0,57.393144488256745,0,0,0,0,0,0,0,57.40235574325198,0 
160,0,108.67074961832738,0,0,0,0,0,0,0,108.66530442077422,0.0 
170,0,4828.839041305479,0.0,128.09806376058057,0,354.7099999999991,0,0,0,571.6958492891197,335.836196393753 
180,0,10963.711560591859,154.88267670285046,173.1681672458094,0,0,0,18.963999999999942,0,131.97771318922915,175.1979999999985 
190,0,6246.861306989088,25.050499999999374,68.02531300121592,0,0,0,81.8870847115701,0,90.99159754224749,9.866499999998268 
200,0,276.59948011801407,0,0,0,0,0,276.5785543980012,0,0,0 
201,0,0,0,0,0,0,0,0,0,0,0 
