time,cpu@tsung_controller@ip-172-31-31-187 
0,0.1639743439397493 
10,0.997506234413965 
20,2.4962556165751373 
30,2.147852147852148 
40,1.296111665004985 
50,1.4940239043824701 
60,1.744765702891326 
70,1.3937282229965158 
80,1.0967098703888334 
90,1.195814648729447 
100,1.6508254127063533 
110,3.4413965087281797 
120,2.305764411027569 
130,2.8528528528528527 
140,0.2 
150,0.5491762356465303 
160,0.1998001998001998 
170,2.5411061285500747 
180,1.2512512512512513 
190,1.9461077844311379 
200,0.5491762356465303 
201,0.24962556165751376 
