time,nomatch,match,match_stop 
50,161,735,161 
60,192,900,192 
70,192,1135,192 
80,192,1432,192 
90,209,1455,209 
100,211,1476,211 
110,211,1507,211 
120,211,1574,211 
130,211,1605,211 
140,248,1605,248 
150,264,1605,264 
160,273,1605,273 
170,300,1605,300 
180,355,1605,355 
190,393,1605,393 
200,396,1605,396 
201,396,1605,396 
