time,request,connect 
0,1475.402,9.479 
10,1963.778,9.479 
20,8968.002,9.479 
30,11821.679,9.479 
40,20820.313,14.566 
50,29051.781,38.783 
60,35894.439,38.783 
70,40927.729,38.783 
80,45772.37,38.783 
90,49255.012,38.783 
100,49655.55,38.783 
110,49655.55,38.783 
120,49655.55,38.783 
130,49655.55,38.783 
140,60500.335,38.783 
150,60500.335,38.783 
160,60500.335,38.783 
170,62215.185,38.783 
180,62215.185,38.783 
190,62215.185,38.783 
200,62215.185,38.783 
201,62215.185,38.783 
