time,tr_Post_Register,tr_Get_Root,page,tr_Post_New_Post,tr_Redirect_To_New_Post,tr_Get_Register,tr_Get_Book,tr_Redirect_Root,tr_Get_New_Post 
0,170.203,243.675,243.583,,,16.803,,117.81, 
10,327.708,338.269,495.12,,,159.933,,495.211, 
20,574.714,773.6,837.253,,,272.534,,837.341, 
30,765.118,1063.049,30766.682,45.225,104.714,272.534,30766.826,916.594,64.264 
40,765.118,1063.049,35574.022,45.225,104.714,3238.102,35574.151,3655.354,3637.949 
50,765.118,1063.049,35574.022,45.225,104.714,3238.102,35574.151,3655.354,3637.949 
60,765.118,1063.049,60021.86,45.225,104.714,3238.102,60022.02,3655.354,3637.949 
70,765.118,1063.049,60025.852,45.225,104.714,3238.102,60026.074,3655.354,3637.949 
80,765.118,1063.049,60025.852,45.225,104.714,3238.102,60026.074,49732.103,3637.949 
90,765.118,1063.049,60025.852,45.225,104.714,3238.102,60026.074,49732.103,3637.949 
100,59999.074,1063.049,60025.852,60001.916,104.714,3238.102,60026.074,59998.848,60001.663 
110,59999.074,1063.049,60025.852,60001.916,104.714,3238.102,60026.074,59998.848,60001.663 
120,59999.074,1063.049,60025.852,60001.916,104.714,3238.102,60026.074,59998.848,60022.399 
130,59999.074,1063.049,60025.852,60001.916,104.714,3238.102,60026.074,59998.848,60022.399 
140,59999.074,1063.049,60025.852,60001.916,104.714,3238.102,60026.074,59998.848,60022.399 
150,59999.074,1063.049,60025.852,60001.916,104.714,3238.102,60026.074,59998.848,60022.399 
160,59999.074,1063.049,60025.852,60001.916,59997.47,3238.102,60026.074,59999.296,60022.399 
170,59999.074,1063.049,60025.852,60001.916,59997.47,3238.102,60026.074,59999.296,60022.399 
180,59999.074,1063.049,60025.852,60001.916,59997.47,3238.102,60026.074,59999.296,60022.399 
190,59999.074,1063.049,60025.852,60001.916,59997.47,3238.102,60026.074,59999.296,60022.399 
200,59999.074,1063.049,60025.852,60001.916,59997.47,3238.102,60026.074,59999.296,60022.399 
207,59999.074,1063.049,60025.852,60001.916,59997.47,3238.102,60026.074,59999.296,60022.399 
