time,tr_Post_Register,tr_Get_Root,page,tr_Post_New_Post,tr_Redirect_To_New_Post,tr_Get_Register,tr_Get_Book,tr_Redirect_Root,tr_Get_New_Post 
0,134.326,48.201,6.777,,,6.935,,55.871, 
10,134.326,48.201,6.777,,,6.935,,55.871, 
20,134.326,48.201,6.777,,,6.935,,55.871, 
30,134.326,48.201,6.777,45.225,104.714,6.935,28877.59,55.871,64.264 
40,134.326,48.201,6.777,45.225,104.714,6.935,28877.59,55.871,64.264 
50,134.326,48.201,6.777,45.225,104.714,6.935,28877.59,55.871,64.264 
60,134.326,48.201,6.777,45.225,104.714,6.935,28877.59,55.871,64.264 
70,134.326,48.201,6.777,45.225,104.714,6.935,28877.59,55.871,64.264 
80,134.326,48.201,6.777,45.225,104.714,6.935,28877.59,55.871,64.264 
90,134.326,48.201,6.777,45.225,104.714,6.935,28877.59,55.871,64.264 
100,134.326,48.201,6.777,45.225,104.714,6.935,28877.59,55.871,64.264 
110,134.326,48.201,6.777,45.225,104.714,6.935,28877.59,55.871,64.264 
120,134.326,48.201,6.777,45.225,104.714,6.935,28877.59,55.871,64.264 
130,134.326,48.201,6.777,45.225,104.714,6.935,28877.59,55.871,64.264 
140,134.326,48.201,6.777,45.225,104.714,6.935,28877.59,55.871,64.264 
150,134.326,48.201,0.742,0.911,0.901,6.935,28877.59,55.871,1.086 
160,134.326,48.201,0.742,0.911,0.901,6.935,28877.59,55.871,1.086 
170,134.326,48.201,0.742,0.911,0.901,6.935,28877.59,55.871,1.086 
180,134.326,48.201,0.742,0.911,0.901,6.935,28877.59,55.871,1.086 
190,134.326,48.201,0.742,0.911,0.901,6.935,28877.59,55.871,1.086 
200,134.326,48.201,0.742,0.911,0.901,6.935,28877.59,55.871,1.086 
207,134.326,48.201,0.742,0.911,0.901,6.935,28877.59,55.871,1.086 
