time,tr_Post_Register,tr_Get_Root,page,tr_Post_New_Post,tr_Redirect_To_New_Post,tr_Get_Register,tr_Get_Book,tr_Redirect_Root,tr_Get_New_Post 
0,0.7,1.5,3.9,,,1.1,,0.6, 
10,2.1,2.1,8.2,,,2.1,,1.9, 
20,2.5,3.5,11.5,,,3.2,,2.3, 
30,2.5,0.8,7.7,0.1,0.1,1.4,0.2,2.5,0.1 
40,0,0,0.4,0,0,0.1,0.1,0.1,0.1 
50,0,0,0,0,0,0,0,0,0 
60,0,0,0.2,0,0,0,0.2,0,0 
70,0,0,1.4,0,0,0,1.4,0,0 
80,0,0,2.4,0,0,0,2.1,0.3,0 
90,0,0,2.8,0,0,0,2.8,0,0 
100,0.1,0,1,0.1,0,0,0.6,0.1,0.1 
110,0,0,0,0,0,0,0,0,0 
120,0,0,0.2,0,0,0,0,0,0.2 
130,0,0,1.1,0,0,0,0,0,1.1 
140,0,0,2,0,0,0,0,0,2 
150,0,0,6.5,1.9,1.2,0,0.3,0,3.1 
160,0,0,1.7,0.4,0.3,0,0.1,0.1,0.8 
170,0,0,10.4,5.3,4.8,0,0,0,0.3 
180,0,0,1.4,0,1.4,0,0,0,0 
190,0,0,0,0,0,0,0,0,0 
200,0,0,0,0,0,0,0,0,0 
207,0,0,0.4,0.1,0.1,0,0.1,0,0.1 
