time,200,500,400,404,504,422,302 
0,23,,,,,,13 
10,61,14,4,,,6,42 
20,80,23,8,,,8,56 
30,86,24,8,,,8,60 
40,86,24,8,,,8,60 
50,86,24,8,,,8,60 
60,86,24,8,,,8,60 
70,90,24,8,,3,8,62 
80,98,24,8,,7,8,67 
90,99,24,8,,7,8,67 
100,99,24,8,,7,8,67 
110,129,24,8,,7,8,76 
120,236,44,11,,7,18,151 
130,288,80,27,,7,28,205 
140,298,89,29,,7,30,210 
150,299,90,30,,7,30,210 
160,299,90,30,,7,30,210 
170,304,90,30,,7,30,212 
180,314,90,30,,11,30,217 
190,330,90,30,,20,30,226 
200,338,90,30,,21,30,228 
210,464,102,30,,21,38,296 
220,670,165,50,,21,61,459 
230,761,214,70,,21,73,518 
240,789,218,73,,21,73,536 
250,797,219,73,,21,73,541 
260,797,219,73,,21,73,541 
270,798,219,73,,23,73,542 
280,807,219,73,,29,73,549 
290,828,219,73,,39,73,558 
300,836,219,73,,41,73,561 
310,1081,229,75,,41,79,683 
320,1456,326,100,,41,122,996 
330,1592,408,132,,41,141,1093 
340,1635,428,143,,41,143,1119 
350,1642,429,143,,41,143,1123 
360,1642,429,143,,41,143,1123 
370,1647,429,143,,44,143,1126 
380,1693,429,143,,85,143,1155 
390,1769,429,143,,113,143,1192 
400,1788,429,143,,114,143,1197 
410,1791,429,143,,115,143,1198 
420,1792,429,143,,115,143,1198 
430,2294,452,149,,115,156,1475 
440,3101,593,186,,115,219,2097 
450,3384,761,251,,115,262,2296 
460,3496,802,268,,115,268,2366 
470,3530,804,268,,115,268,2387 
480,3532,804,268,,115,268,2389 
490,3539,804,268,,124,268,2394 
500,3638,804,268,,202,268,2457 
510,3791,804,268,,258,268,2530 
520,3829,804,268,,265,268,2540 
530,3832,804,268,,265,268,2540 
540,4107,804,268,,265,268,2615 
550,5569,1008,321,,265,373,3638 
560,6486,1404,450,,265,506,4426 
570,6689,1611,537,,265,544,4540 
580,6770,1638,546,,265,546,4583 
590,6860,1638,546,,265,546,4639 
600,6960,1638,546,,265,546,4712 
610,7052,1638,546,,328,546,4778 
620,7322,1638,546,,478,546,4929 
630,7474,1638,546,,520,546,4988 
640,7508,1638,546,,521,546,4993 
650,7509,1638,546,,521,546,4993 
660,7511,1638,546,,521,546,4993 
670,9511,1723,560,,521,603,6090 
680,12613,2415,753,,521,925,8548 
690,13602,3142,1045,,521,1108,9306 
700,13765,3344,1115,,521,1120,9374 
710,13789,3361,1120,,521,1121,9377 
720,13792,3363,1121,,521,1121,9377 
730,13808,3363,1121,1,550,1124,9388 
740,14186,3363,1121,20,908,1179,9622 
750,14864,3363,1121,92,1208,1268,9872 
760,15192,3363,1121,154,1259,1298,9934 
770,15265,3363,1121,179,1262,1301,9936 
780,15274,3363,1121,181,1262,1302,9937 
782,15274,3363,1121,181,1262,1302,9937 
