time,tr_Post_Register,tr_Get_Root,page,tr_Get_New_Conversation,tr_Post_New_Post,tr_Redirect_To_New_Post,tr_Get_Register,tr_Get_Book,tr_Redirect_Root 
0,128.371,48.13,6.28,,,,6.458,,47.952 
10,128.371,48.13,5.92,17.337,27.483,,6.063,5015.319,47.952 
20,128.371,48.13,4.963,5.184,5.715,18.331,6.063,5004.367,47.952 
30,128.371,48.13,3.95,4.165,4.502,18.331,6.063,5003.983,47.952 
40,128.371,48.13,3.95,4.165,4.502,17.315,6.063,5003.983,47.952 
44,128.371,48.13,3.697,4.165,3.881,16.044,6.063,5003.983,47.952 
