time,sentpackets@tsung_controller@ip-172-31-17-231 
10,392 
20,876.0 
30,634.0 
40,22.0 
50,497.0 
60,1690.0 
70,1090.0 
80,134.0 
90,305.0 
100,2644.0 
110,3398.0 
120,1385.0 
130,86.0 
140,2239.0 
150,7125.0 
160,5636.0 
170,608.0 
180,91.0 
190,1246.0 
200,10167.0 
210,15817.0 
220,4987.0 
230,362.0 
240,14.0 
250,10889.0 
260,33984.0 
270,24359.0 
280,4105.0 
290,178.0 
300,3.0 
310,5286.0 
320,46734.0 
330,75186.0 
340,26637.0 
350,1802.0 
360,285.0 
370,1.0 
380,0.0 
390,42468.0 
400,156369.0 
410,121476.0 
420,20491.0 
430,1639.0 
440,91.0 
450,0.0 
460,23052.0 
470,180356.0 
480,217593.0 
490,232603.0 
500,229967.0 
510,57699.0 
520,3486.0 
530,389.0 
540,58.0 
550,50259.0 
560,228660.0 
570,273617.0 
580,305390.0 
590,324820.0 
600,205052.0 
610,122189.0 
620,108162.0 
630,34013.0 
640,1576.0 
647,145.0 
