time,request,connect 
0,4.585,0.862 
10,3.673,0.862 
20,3.673,0.862 
30,3.673,0.862 
40,3.673,0.738 
50,3.649,0.721 
60,3.403,0.721 
70,3.403,0.721 
80,3.403,0.721 
90,3.403,0.721 
100,3.286,0.721 
110,3.286,0.721 
120,3.286,0.721 
130,3.286,0.64 
140,3.286,0.64 
150,3.286,0.64 
160,3.286,0.64 
170,3.286,0.64 
180,3.286,0.64 
190,3.286,0.485 
200,0.328,0.485 
210,0.32,0.485 
220,0.32,0.485 
230,0.32,0.485 
240,0.32,0.485 
250,0.32,0.485 
260,0.307,0.485 
270,0.301,0.485 
280,0.301,0.485 
290,0.301,0.485 
300,0.301,0.485 
310,0.301,0.485 
320,0.3,0.442 
330,0.295,0.39 
340,0.295,0.39 
350,0.295,0.39 
360,0.295,0.39 
370,0.295,0.39 
380,0.295,0.39 
382,0.295,0.39 
