time,users,connected 
0,14,13 
10,29,15 
20,29,-16 
30,29,-11 
40,29,14 
50,57,37 
60,57,-30 
70,57,-19 
80,57,27 
90,112,81 
100,115,-51 
110,115,-48 
120,115,-10 
130,115,23 
140,187,157 
150,218,31 
160,218,-105 
170,218,-97 
180,218,-9 
190,257,253 
200,478,216 
210,478,-82 
220,478,-187 
230,478,-193 
240,478,-9 
250,481,447 
260,897,404 
270,897,-335 
280,897,-379 
290,897,-120 
300,897,-16 
310,897,290 
320,1562,1084 
330,1737,-224 
340,1737,-706 
350,1737,-386 
360,1737,-54 
370,1737,-5 
380,1737,0 
382,1737,0 
