time,users_count,finish_users_count 
0,15,1 
10,30,4 
20,30,19 
30,30,29 
40,46,30 
50,90,38 
60,90,69 
70,90,87 
80,123,90 
90,206,94 
100,210,153 
110,210,198 
120,210,208 
130,236,210 
140,399,212 
150,432,219 
160,432,326 
170,432,421 
180,432,430 
190,689,432 
200,912,438 
210,912,520 
220,912,706 
230,912,903 
240,912,912 
250,1393,912 
260,1828,979 
270,1828,1301 
280,1828,1702 
290,1828,1810 
300,1828,1827 
310,2160,1828 
320,3452,1891 
330,3710,2532 
340,3710,3250 
350,3710,3649 
360,3710,3705 
370,3710,3710 
380,3710,3710 
382,3710,3710 
