time,request,connect 
0,5.649,0.73 
10,5.252,0.73 
20,5.252,0.73 
30,5.252,0.73 
40,5.252,0.73 
50,4.904,0.716 
60,4.634,0.716 
70,4.634,0.716 
80,4.634,0.716 
90,4.193,0.716 
100,4.193,0.691 
110,4.193,0.691 
120,4.193,0.691 
130,4.193,0.691 
140,4.193,0.691 
150,3.894,0.574 
160,3.894,0.574 
170,3.894,0.574 
180,3.894,0.574 
190,3.894,0.574 
200,3.663,0.574 
210,3.663,0.574 
220,3.663,0.574 
230,3.663,0.574 
240,3.663,0.574 
250,3.663,0.477 
260,3.663,0.444 
270,3.663,0.444 
280,3.663,0.444 
290,3.663,0.444 
300,3.663,0.444 
301,3.663,0.444 
