time,users,connected 
0,24,23 
10,28,-3 
20,28,-12 
30,28,-6 
40,40,38 
50,59,2 
60,59,-28 
70,59,-12 
80,59,-1 
90,59,21 
100,94,72 
110,96,-39 
120,96,-35 
130,96,-17 
140,96,-2 
150,96,55 
160,208,150 
170,217,-65 
180,217,-104 
190,217,-31 
200,217,-5 
210,265,264 
220,417,85 
230,417,-217 
240,417,-107 
250,417,-21 
260,417,-5 
270,582,555 
280,932,339 
290,932,-168 
300,932,-408 
310,932,-206 
320,932,-61 
330,932,-46 
340,932,-4 
350,1102,1064 
360,1870,614 
370,1870,111 
380,1870,-42 
390,1870,-122 
400,1870,-311 
410,1870,-303 
420,1870,-399 
430,1870,-344 
440,1870,-51 
450,1870,-7 
460,1870,-19 
470,1870,-21 
480,1870,-78 
490,1870,-76 
500,1870,-12 
510,1870,-4 
517,1870,-1 
