time,200,500,400,504,404,502,422,302 
0,4.2,,,,,,,2.6 
10,7.2,,,,,,,5.9 
20,3.3,,,,,,,1.3 
30,1.3,,,,,,,0.7 
40,7.4,,,,,,,3.1 
50,16,,,,,,,12.3 
60,8.2,,,,,,,4.6 
70,1.7,,,,,,,0.7 
80,0.1,,,,,,,0.1 
90,2.8,,,,,,,0.6 
100,23.2,,,,,,,15.1 
110,22.2,,,,,,,15.5 
120,9.8,,,,,,,4.7 
130,2.3,,,,,,,0.7 
140,0.2,,,,,,,0.1 
150,7.6,,,,,,,2.3 
160,43.8,,,,,,,29.1 
170,49.5,,,,,,,35.2 
180,24.3,,,,,,,12.1 
190,5,,,,,,,2.3 
200,0.7,,,,,,,0.3 
210,50.7,,,,,,,26.9 
220,102.9,,,,,,,77.7 
230,70.6,,,,,,,41.3 
240,18.8,,,,,,,9.8 
250,2.9,,,,,,,1 
260,0.6,,,,,,,0.3 
270,81.5,,,,,,,49.6 
280,88.3,,,,,,,95.6 
290,149.2,,,,,,,78.8 
300,133.1,,,,,,,68.6 
310,35.9,,,,,,,16.2 
320,18,,,,,,,10.3 
330,7.4,,,,,,,4.9 
340,0.6,,,,,,,0.3 
350,67,,,,,,,58.9 
360,48.2,50.9,0.2,,,,16.8,79.8 
370,32.3,18,1.3,,0.1,19.4,6,19.7 
380,97.2,0,1.2,,0.4,1.1,5.7,57.7 
390,179.2,0,0,,0,0,0.2,121.8 
400,115.5,0,2.8,,0.2,0,2,83 
410,110.4,0,2.7,,0.8,0,2.5,41.7 
420,173.8,0,0.2,,0.6,0,0.4,63.1 
430,49.9,0,0,0.2,0.1,0,0,17.1 
440,5.2,0,0,0.6,0.4,0,0.3,0.8 
450,0.9,0,0,1.5,0.2,0,0.8,0 
460,2.9,0,0,1.9,1.5,0,1.6,0 
470,2.3,0,0,3.9,1,0,2.3,0 
480,8.5,0,0,12.3,4.1,0,7.6,0 
490,13.5,0,0,2,6.9,0,3,0 
500,2,0,0,0,1.2,0,0.1,0 
510,0.8,0,0,0,0.4,0,0,0 
517,0.1,0,0,0,0.1,0,0,0 
