time,200,500,400,504,404,502,422,302 
0,42,,,,,,,26 
10,114,,,,,,,85 
20,147,,,,,,,98 
30,160,,,,,,,105 
40,234,,,,,,,136 
50,394,,,,,,,259 
60,476,,,,,,,305 
70,493,,,,,,,312 
80,494,,,,,,,313 
90,522,,,,,,,319 
100,754,,,,,,,470 
110,976,,,,,,,625 
120,1074,,,,,,,672 
130,1097,,,,,,,679 
140,1099,,,,,,,680 
150,1175,,,,,,,703 
160,1613,,,,,,,994 
170,2108,,,,,,,1346 
180,2351,,,,,,,1467 
190,2401,,,,,,,1490 
200,2408,,,,,,,1493 
210,2915,,,,,,,1762 
220,3944,,,,,,,2539 
230,4650,,,,,,,2952 
240,4838,,,,,,,3050 
250,4867,,,,,,,3060 
260,4873,,,,,,,3063 
270,5688,,,,,,,3559 
280,6571,,,,,,,4515 
290,8063,,,,,,,5303 
300,9394,,,,,,,5989 
310,9753,,,,,,,6151 
320,9933,,,,,,,6254 
330,10007,,,,,,,6303 
340,10013,,,,,,,6306 
350,10683,,,,,,,6895 
360,11165,509,2,,,,168,7693 
370,11488,689,15,,1,194,228,7890 
380,12460,689,27,,5,205,285,8467 
390,14252,689,27,,5,205,287,9685 
400,15407,689,55,,7,205,307,10515 
410,16511,689,82,,15,205,332,10932 
420,18249,689,84,,21,205,336,11563 
430,18748,689,84,2,22,205,336,11734 
440,18800,689,84,8,26,205,339,11742 
450,18809,689,84,23,28,205,347,11742 
460,18838,689,84,42,43,205,363,11742 
470,18861,689,84,81,53,205,386,11742 
480,18946,689,84,204,94,205,462,11742 
490,19081,689,84,224,163,205,492,11742 
500,19101,689,84,224,175,205,493,11742 
510,19109,689,84,224,179,205,493,11742 
517,19110,689,84,224,180,205,493,11742 
