time,200,302 
0,4.1,2.4 
10,7.7,5.4 
20,3.4,1.5 
30,0.4,0.3 
40,6.6,2.9 
50,14.1,11.2 
60,9.6,5.4 
70,1.9,1.1 
80,4,1.4 
90,22.1,14.5 
100,27.5,19 
110,9.7,4.9 
120,1.7,0.7 
130,27.9,14.2 
140,59.9,44.7 
150,33.5,19.6 
160,6.9,3.2 
170,1,0.4 
180,0.2,0 
190,52.3,29.3 
200,114.2,82.1 
210,66.6,39.2 
220,14.9,6.4 
230,2,1.1 
240,25.8,5.3 
250,190.5,124.5 
260,203.4,143.6 
270,80.3,40.9 
280,14.8,6.8 
290,1.9,1.4 
300,0.8,0.4 
310,192.8,101.9 
320,433.8,314.6 
330,253.1,151.7 
340,49.5,20.9 
350,10.4,4.2 
360,10,6.1 
370,24.2,16.6 
380,7.6,5.1 
390,1.2,0.7 
396,0.2,0.1 
