time,200,302 
0,41,24 
10,118,78 
20,152,93 
30,156,96 
40,222,125 
50,363,237 
60,459,291 
70,478,302 
80,518,316 
90,739,461 
100,1014,651 
110,1111,700 
120,1128,707 
130,1407,849 
140,2006,1296 
150,2341,1492 
160,2410,1524 
170,2420,1528 
180,2422,1528 
190,2945,1821 
200,4087,2642 
210,4753,3034 
220,4902,3098 
230,4922,3109 
240,5180,3162 
250,7085,4407 
260,9119,5843 
270,9922,6252 
280,10070,6320 
290,10089,6334 
300,10097,6338 
310,12025,7357 
320,16363,10503 
330,18894,12020 
340,19389,12229 
350,19493,12271 
360,19593,12332 
370,19835,12498 
380,19911,12549 
390,19923,12556 
396,19925,12557 
